potatoes,картофель
beer,пиво
crackers,крекеры
bread white,хлеб белый
bun,булка
bread,хлеб
bread rye,хлеб ржаной
bread wholemeal,хлеб цельнозерновой
bread toasted,хлеб тостовый
croissant,круассан
sandwich,бутерброд
crackers,крекеры
crispbreads,хлебцы
bread sticks,хлебные палочки
croutons,сухарики
cornbread,хлеб кукурузный
ciabatta,чиабатта
pitta bread,пита
baguette,багет
brioche,бриошь
challah,хала
bread brown,хлеб черный
focaccia,фокачча
vinegar,уксус
eggs,яйца
raisins,изюм
olives,оливки
apples,яблоки
strawberries,клубника
apricots,абрикосы
pineapple,ананас
bananas,бананы
blueberries,черника
currants,смородина
redcurrants,смородина красная
blackcurrants,смородина чёрная
bilberries,черника
cow-berries,брусника
blackberries,ежжевика
lemon,лимон
cranberries,клюква
grapes,виноград
raspberries,малина
grapefruit,грейпфрут
cherries,вишня
gooseberries,крыжовник
mandarins,мандарины
melon,дыня
pears,груши
peaches,персики
plums,сливы
oranges,апельсины
apple sauce,яблочное пюре
dates,финики
dried fruits,сухофрукты
prunes,чернослив
figs,инжир
coconut,кокос
plantain,плантан
avocado,авокадо
guava,гуава
limes,лаймы
mango,манго
papaya,папайя
pomegranate,гранат
kiwi,киви
persimmon,хурма
passion fruit,маракуйя
lychees,личи
kumquat,кумкват
watermelon,арбуз
nectarines,нектарины
carambola,карамбола
coconut milk,кокосовое молоко
cranberry,клюквенный
biscuit,галета
cookies,печенье
cake,кекс
pie,пирог
tarts,тарталетки
macaroons,пирожные
donut,пончик
flan,флан
meringue,безе
muesli,мюсли
waffles,вафли
strudel,штрудель
cheesecake,чизкейк
gateau,торт
shortbread,печенье песочное
energy bar,энергетический батончик
eclair,жареный эклер
brownie,брауни
bar,батончик
cup cake,капкейк
fritter,банановые
gingerbread,пряники
cake chocolate,торт шоколадный
cake apple,кекс яблочный
cake chocolate,кекс шоколадный
carrot cake,торт морковный
banana bread,хлеб банановый
pasta,паста
macaroni,макароны
spaghetti,спагетти
rice,рис
semolina,манная крупа
flour rice,мука рисовая
vermicelli,вермишель
flour buckwheat,мука гречневая
barley,ячмень
oatmeal,овсянка
cornstarch,крахмал кукурузный
blancmange,бланманже
flour rye,мука ржаная
tapioca,тапиока
flour wheat,мука пшеничная
flour,мука
starch potato,крахмал картофельный
gelatin,желатин
rice white,рис белый
flour cassava,мука кассавы
cornmeal,мука кукурузная
rice brown,рис коричневый
millet,просо
flour soy,мука соевая
bread crumbs,сухари
bulgur,булгур
buckwheat groats,гречневая крупа
couscous,кускус
pizza,пицца
porridge,каша
cornflakes,хлопья кукурузные
tortellini,тортеллини
pita,лаваш
bran,отруби
quinoa,киноа
noodles,лапша
endive,эндивий
asparagus,спаржа
eggplant,баклажан
beetroot,свекла
celery,сельдерей
cauliflower,капуста цветная
kale,капуста листовая
mushrooms,грибы
chanterelles,лисички
cabbage,капуста
cabbage chinese,китайская капуста
peas,горох
